,year,genre,rating,Director,Top_5_cast,Images
Rang De Basanti,(2006),"Comedy, Crime, Drama",8.1,Rakeysh Omprakash Mehra,"['Aamir Khan', 'Soha Ali Khan', 'Siddharth', 'Sharman Joshi']","https://m.media-amazon.com/images/M/MV5BYThmZDA0YmQtMWJhNy00MDQwLTk0Y2YtMDhmZTE5ZjhlNjliXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR3,0,140,209_AL_.jpg"
3 Idiots,(2009),"Comedy, Drama",8.4,Rajkumar Hirani,"['Aamir Khan', 'Madhavan', 'Mona Singh', 'Sharman Joshi']","https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY209_CR2,0,140,209_AL_.jpg"
Taare Zameen Par,(2007),"Drama, Family",8.3,Aamir Khan,"['Amole Gupte', 'Darsheel Safary', 'Aamir Khan', 'Tisca Chopra', 'Vipin Sharma']","https://m.media-amazon.com/images/M/MV5BYjY0MGU3MmQtMGVhOS00M2IyLWI1MTktZGUxMzBjMTE5ZDA3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY209_CR2,0,140,209_AL_.jpg"
Dil Chahta Hai,(2001),"Comedy, Drama, Romance",8.1,Farhan Akhtar,"['Aamir Khan', 'Saif Ali Khan', 'Akshaye Khanna', 'Preity G Zinta']","https://m.media-amazon.com/images/M/MV5BMjRjMTYwMTYtMmRkNi00MmVkLWE0MjQtNmM3YjI0NWFhZDNmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Swades: We, the People",(2004),"Drama, Musical",8.2,Ashutosh Gowariker,"['Shah Rukh Khan', 'Gayatri Joshi', 'Kishori Ballal', 'Smith Seth']","https://m.media-amazon.com/images/M/MV5BODY2NGYxZTEtMzBiOS00Zjg2LWEyZjYtNjQ5Mjg1MzQ5N2FlXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_UY209_CR2,0,140,209_AL_.jpg"
Lagaan: Once Upon a Time in India,(2001),"Drama, Musical, Sport",8.1,Ashutosh Gowariker,"['Aamir Khan', 'Raghubir Yadav', 'Gracy Singh', 'Rachel Shelley']","https://m.media-amazon.com/images/M/MV5BNDYxNWUzZmYtOGQxMC00MTdkLTkxOTctYzkyOGIwNWQxZjhmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX140_CR0,0,140,209_AL_.jpg"
Gangs of Wasseypur,(2012),"Action, Comedy, Crime",8.2,Anurag Kashyap,"['Manoj Bajpayee', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia', 'Richa Chadha']","https://m.media-amazon.com/images/M/MV5BMTc5NjY4MjUwNF5BMl5BanBnXkFtZTgwODM3NzM5MzE@._V1_UY209_CR0,0,140,209_AL_.jpg"
Barfi!,(2012),"Comedy, Drama, Romance",8.1,Anurag Basu,"['Ranbir Kapoor', 'Priyanka Chopra Jonas', ""Ileana D'Cruz"", 'Saurabh Shukla']","https://m.media-amazon.com/images/M/MV5BMTQzMTEyODY2Ml5BMl5BanBnXkFtZTgwMjA0MDUyMjE@._V1_UY209_CR2,0,140,209_AL_.jpg"
Anand,(1971),"Drama, Musical",8.1,Hrishikesh Mukherjee,"['Rajesh Khanna', 'Amitabh Bachchan', 'Sumita Sanyal', 'Ramesh Deo']","https://m.media-amazon.com/images/M/MV5BMzI4MjcxNGMtZmY1Zi00ZGU5LTk4MDMtNTljMDJmYTNjZjcxXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_UX140_CR0,0,140,209_AL_.jpg"
Munna Bhai M.B.B.S.,(2003),"Comedy, Drama",8.1,Rajkumar Hirani,"['Sanjay Dutt', 'Arshad Warsi', 'Gracy Singh', 'Boman Irani']","https://m.media-amazon.com/images/M/MV5BMzJhMjI0ZmYtZTQ3My00YTliLWE4ZmMtMjJmMzcyNDcwYTI5XkEyXkFqcGdeQXVyODk2ODI3MTU@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Wednesday,(2008),"Action, Crime, Drama",8.1,Neeraj Pandey,"['Anupam Kher', 'Naseeruddin Shah', 'Veerendra Saxena', 'Mahesh Kanual']","https://m.media-amazon.com/images/M/MV5BOTcwMzdiMWItMjZlOS00MzAzLTg5OTItNTA4OGYyMjBhMmRiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR3,0,140,209_AL_.jpg"
Andaz Apna Apna,(1994),"Action, Comedy, Romance",8,Rajkumar Santoshi,"['Aamir Khan', 'Salman Khan', 'Raveena Tandon', 'Karisma Kapoor']","https://m.media-amazon.com/images/M/MV5BNGVkODBlYmUtNTMzYi00MjEwLWI3YWUtODNlNjhkMTg4OWJiXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_UX140_CR0,0,140,209_AL_.jpg"
Sholay,(1975),"Action, Adventure, Comedy",8.1,Ramesh Sippy,"['Sanjeev Kumar', 'Dharmendra', 'Amitabh Bachchan', 'Amjad Khan']","https://m.media-amazon.com/images/M/MV5BOWQ0YTUzYzItYjI0MC00OTZmLWE1MWQtY2EzMzU2MTlmMmJjXkEyXkFqcGdeQXVyMDkwNTkwNg@@._V1_UY209_CR9,0,140,209_AL_.jpg"
Bhaag Milkha Bhaag,(2013),"Biography, Drama, Sport",8.2,Milkha Singh,"['Farhan Akhtar', 'Kousi Orfahli', 'Deepak Singh Rawat', 'Japtej Singh']","https://m.media-amazon.com/images/M/MV5BMTY1Nzg4MjcwN15BMl5BanBnXkFtZTcwOTc1NTk1OQ@@._V1_UY209_CR2,0,140,209_AL_.jpg"
Hera Pheri,(2000),"Action, Comedy, Crime",8.2,Priyadarshan,"['Akshay Kumar', 'Suniel Shetty', 'Paresh Rawal', 'Tabu']","https://m.media-amazon.com/images/M/MV5BNDExMTBlZTYtZWMzYi00NmEwLWEzZGYtOTA1MDhmNTc0ODZkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Udaan,(2010),Drama,8.1,Vikramaditya Motwane,"['Rajat Barmecha', 'Ronit Roy', 'Manjot Singh', 'Ram Kapoor']","https://m.media-amazon.com/images/M/MV5BNzgxMzExMzUwNV5BMl5BanBnXkFtZTcwMDc2MjUwNA@@._V1_UY209_CR2,0,140,209_AL_.jpg"
Kahaani,(2012),"Mystery, Thriller",8.1,Sujoy Ghosh,"['Vidya Balan', 'Parambrata Chattopadhyay', 'Indraneil Sengupta', 'Nawazuddin Siddiqui']","https://m.media-amazon.com/images/M/MV5BMTQ1NDI0NzkyOF5BMl5BanBnXkFtZTcwNzAyNzE2Nw@@._V1_UY209_CR2,0,140,209_AL_.jpg"
Black,(2005),Drama,8.1,Sanjay Leela Bhansali,"['Amitabh Bachchan', 'Rani Mukerji', 'Shernaz Patel', 'Ayesha Kapur']","https://m.media-amazon.com/images/M/MV5BNDQ1OTNmMTEtYjU1ZC00ZjA3LWE3ZDQtYjI2MjQ4YmQ0NjZkXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_UX140_CR0,0,140,209_AL_.jpg"
Chak De! India,(2007),"Drama, Family, Sport",8.1,Shimit Amin,"['Shah Rukh Khan', 'Vidya Malvade', 'Sagarika Ghatge', 'Shilpa Shukla']","https://m.media-amazon.com/images/M/MV5BMTUzODMyNzk4NV5BMl5BanBnXkFtZTgwNTk1NTYyNTM@._V1_UY209_CR8,0,140,209_AL_.jpg"
Khosla Ka Ghosla!,(2006),"Comedy, Crime, Drama",8.2,Dibakar Banerjee,"['Pravin E. Birje', 'Anupam Kher', 'Boman Irani', 'Parvin Dabas', 'Tara Sharma']","https://m.media-amazon.com/images/M/MV5BZTg2YWFkOGMtYWExMy00YmFiLTk2YjctNTAzZDk5MjdhMzdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY209_CR2,0,140,209_AL_.jpg"
Jo Jeeta Wohi Sikandar,(1992),"Comedy, Drama, Romance",8.1,Mansoor Khan,"['Aamir Khan', 'Ayesha Jhulka', 'Deepak Tijori', 'Pooja Bedi']","https://m.media-amazon.com/images/M/MV5BNTU1ZjQwNDAtZDAwMC00OTcyLTg4MDUtOTUwYTU4N2M4YTgxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR6,0,140,209_AL_.jpg"
Zindagi Na Milegi Dobara,(2011),"Comedy, Drama, Musical",8.2,Zoya Akhtar,"['Hrithik Roshan', 'Farhan Akhtar', 'Abhay Deol', 'Katrina Kaif']","https://m.media-amazon.com/images/M/MV5BZGFmMjM5OWMtZTRiNC00ODhlLThlYTItYTcyZDMyYmMyYjFjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR2,0,140,209_AL_.jpg"
Paan Singh Tomar,(2012),"Action, Biography, Crime",8.2,Tigmanshu Dhulia,"['Irrfan Khan', 'Mahie Gill', 'Rajesh Abhay', 'Hemendra Dandotiya']","https://m.media-amazon.com/images/M/MV5BNTgwODM5OTMzN15BMl5BanBnXkFtZTcwMTA3NzI1Nw@@._V1_UY209_CR2,0,140,209_AL_.jpg"
Dilwale Dulhania Le Jayenge,(1995),"Drama, Romance",8,Aditya Chopra,"['Shah Rukh Khan', 'Kajol', 'Amrish Puri', 'Farida Jalal']","https://m.media-amazon.com/images/M/MV5BMDQ2ZmE2NTMtZDE3NC00YzFjLWJhNmEtMDEzMTI5ZjU2ZGM0XkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_UY209_CR8,0,140,209_AL_.jpg"
Omkara,(2006),"Action, Crime, Drama",8,Vishal Bhardwaj,"['Ajay Devgn', 'Kareena Kapoor', 'Saif Ali Khan', 'Konkona Sen Sharma']","https://m.media-amazon.com/images/M/MV5BY2NmNjlhYzQtMWU5MS00YTVmLWIyOWEtOGFmY2ZjMjY2ZGRkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Lage Raho Munna Bhai,(2006),"Comedy, Drama, Romance",8,Rajkumar Hirani,"['Sanjay Dutt', 'Arshad Warsi', 'Vidya Balan', 'Boman Irani']","https://m.media-amazon.com/images/M/MV5BN2ZmMDMwODgtMzA5MS00MGU0LWEyYTgtYzQ5MmQzMzU2NTVkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg"
Iqbal,(2005),"Drama, Sport",8.1,Nagesh Kukunoor,"['Shreyas Talpade', 'Naseeruddin Shah', 'Shweta Basu Prasad', 'Yatin Karyekar']","https://m.media-amazon.com/images/M/MV5BYmIzZDQ0ZWItZGJjNC00YTllLWIzYjktM2U3ZThmNDFmMDNkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg"
The Lunchbox,(2013),"Drama, Romance",7.8,Ritesh Batra,"['Irrfan Khan', 'Nimrat Kaur', 'Nawazuddin Siddiqui', 'Lillete Dubey']","https://m.media-amazon.com/images/M/MV5BMTUwMzc1NjIzMV5BMl5BanBnXkFtZTgwODUyMTIxMTE@._V1_UY209_CR1,0,140,209_AL_.jpg"
Black Friday,(2004),"Action, Crime, Drama",8.4,Anurag Kashyap,"['Kay Kay Menon', 'Pawan Malhotra', 'Aditya Srivastav', 'Dibyendu Bhattacharya']","https://m.media-amazon.com/images/M/MV5BYWRjMDlmNGYtOGFhYy00ZWU4LTk3MzEtOTI4ZTgxN2Y5NGNkXkEyXkFqcGdeQXVyNzU3Nzk4MDQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Company,(2002),"Action, Crime, Drama",8,Ram Gopal Varma,"['Ajay Devgn', 'Mohanlal', 'Manisha Koirala', 'Seema Biswas']","https://m.media-amazon.com/images/M/MV5BNjVkNWVlMjQtMzJjOS00MDY3LWI4YjgtYjI5NTg1M2U3YzRlXkEyXkFqcGdeQXVyNzE0MzIyOTI@._V1_UY209_CR4,0,140,209_AL_.jpg"
Gol Maal,(1979),"Comedy, Romance",8.5,Hrishikesh Mukherjee,"['Amol Palekar', 'Bindiya Goswami', 'Deven Verma', 'Shobha Khote']","https://m.media-amazon.com/images/M/MV5BYjBhYmQxNTgtNDU2Ni00NGQzLTg5MzQtMDdkY2I3MzA1MTc0XkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_UX140_CR0,0,140,209_AL_.jpg"
Dev.D,(2009),"Comedy, Drama, Romance",7.9,Anurag Kashyap,"['Abhay Deol', 'Mahie Gill', 'Kalki Koechlin', 'Dibyendu Bhattacharya']","https://m.media-amazon.com/images/M/MV5BYjU1NjczNzYtYmFjOC00NzkxLTg4YTUtNGYzMTk3NTU0ZDE3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR2,0,140,209_AL_.jpg"
Jaane Bhi Do Yaaro,(1983),"Comedy, Crime, Drama",8.3,Kundan Shah,"['Naseeruddin Shah', 'Ravi Baswani', 'Bhakti Barve', 'Satish Shah']","https://m.media-amazon.com/images/M/MV5BMDE0Y2NhYjEtNWM3MS00MzFiLTlkODctYmViY2Q4OTczYWI2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR9,0,140,209_AL_.jpg"
OMG: Oh My God!,(2012),"Comedy, Drama, Fantasy",8.1,Umesh Shukla,"['Paresh Rawal', 'Akshay Kumar', 'Mithun Chakraborty', 'Mahesh Manjrekar']","https://m.media-amazon.com/images/M/MV5BYTg1MjE2YTQtMmE3ZC00NGQ2LWJiMWYtZmIxNTYzZjJmYTkwXkEyXkFqcGdeQXVyODMyODMxNDY@._V1_UY209_CR2,0,140,209_AL_.jpg"
Mughal-E-Azam,(1960),"Drama, Romance, War",8.1,K. Asif,"['Prithviraj Kapoor', 'Madhubala', 'Dilip Kumar', 'Durga Khote']","https://m.media-amazon.com/images/M/MV5BMmM2YWQ3MzctOTk1NS00NThhLWExY2MtYjQzZGRmZTFiYWY3XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UY209_CR6,0,140,209_AL_.jpg"
Gulaal,(2009),"Crime, Drama, Thriller",8,Anurag Kashyap,"['Kay Kay Menon', 'Raj Singh Chaudhary', 'Raja Chaudhary', 'Jesse Randhawa']","https://m.media-amazon.com/images/M/MV5BYTMxYjEwYjctMjg4Ni00N2UyLThkNDEtNTY4ODExNmIzYjE5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR3,0,140,209_AL_.jpg"
Dor,(2006),Drama,7.9,Nagesh Kukunoor,"['Ayesha Takia', 'Shreyas Talpade', 'Gul Panag', 'Girish Karnad']","https://m.media-amazon.com/images/M/MV5BYTk3NTVhNjktYTg0OC00ODk1LWE4MjUtMDhkNTY3MTMyMTc0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg"
Jab We Met,(2007),"Comedy, Drama, Romance",7.9,Imtiaz Ali,"['Shahid Kapoor', 'Kareena Kapoor', 'Tarun Arora', 'Dara Singh Randhawa']","https://m.media-amazon.com/images/M/MV5BYmIzYmY4MGItM2I4YS00OWZhLWFmMzQtYzI2MWY1MmM3NGU1XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY209_CR2,0,140,209_AL_.jpg"
Pyaasa,(1957),"Drama, Musical, Romance",8.3,Guru Dutt,"['Guru Dutt', 'Waheeda Rehman', 'Mala Sinha', 'Rehman Khan']","https://m.media-amazon.com/images/M/MV5BYjkzODdhZjUtMjY0YS00ODA3LTkxMDUtM2JlYTQyMWE1NTMzXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UY209_CR5,0,140,209_AL_.jpg"
The Legend of Bhagat Singh,(2002),"Action, Biography, Drama",8.1,Rajkumar Santoshi,"['Ajay Devgn', 'Sushant Singh', 'D. Santosh', 'Akhilendra Mishra']","https://m.media-amazon.com/images/M/MV5BODdhOWU3YjItM2JjYi00ODFkLWJjODgtNTU4ZWM0MTVlZGI3XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY209_CR3,0,140,209_AL_.jpg"
Masoom,(1983),"Drama, Family",8.4,Shekhar Kapur,"['Naseeruddin Shah', 'Shabana Azmi', 'Jugal Hansraj', 'Urmila Matondkar']","https://m.media-amazon.com/images/M/MV5BMjZjZGM1OGQtNDgyOS00M2Y4LWI2MDgtN2JjMTM1M2U0Mzk0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR8,0,140,209_AL_.jpg"
Salaam Bombay!,(1988),"Crime, Drama",7.9,Mira Nair,"['Shafiq Syed', 'Anjaan', 'Amrit Patel', 'Murari Sharma']","https://m.media-amazon.com/images/M/MV5BMWFlMjRhZmUtNzBjNC00NTdjLTlkNjItNWZmODdhODg4ZTlhXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Satya,(1998),"Action, Crime, Drama",8.3,Ram Gopal Varma,"['J.D. Chakravarthi', 'Manoj Bajpayee', 'Urmila Matondkar', 'Paresh Rawal']","https://m.media-amazon.com/images/M/MV5BMTMwMjk3MzA2OF5BMl5BanBnXkFtZTcwNjU2ODgzMQ@@._V1_UY209_CR4,0,140,209_AL_.jpg"
Vicky Donor,(2012),"Comedy, Romance",7.8,Shoojit Sircar,"['Ayushmann Khurrana', 'Yami Gautam', 'Annu Kapoor', 'Dolly Ahluwalia']","https://m.media-amazon.com/images/M/MV5BYWNlODE1ZTEtOTQ5MS00N2QwLTllNjItZDQ2Y2UzMmU5YmI2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR9,0,140,209_AL_.jpg"
Lakshya,(2004),"Action, Drama, Romance",7.8,Farhan Akhtar,"['Hrithik Roshan', 'Preity G Zinta', 'Amitabh Bachchan', 'Om Puri']","https://m.media-amazon.com/images/M/MV5BY2Y0NjY5ZTctZWMzNC00MDQ4LTkyMWUtOGZkMzk4NWNhYWI5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg"
Vaastav: The Reality,(1999),"Action, Crime, Drama",8,Mahesh Manjrekar,"['Sanjay Dutt', 'Namrata Shirodkar', 'Reema Lagoo', 'Shivaji Satam']","https://m.media-amazon.com/images/M/MV5BYmY3MDFjMWQtNWJkMC00NWIyLTkxZWYtNmNhZjUxOGJmNTJlXkEyXkFqcGdeQXVyMTYyNjAzOTUx._V1_UY209_CR8,0,140,209_AL_.jpg"
Kal Ho Naa Ho,(2003),"Comedy, Drama, Musical",7.9,Nikkhil Advani,"['Preity G Zinta', 'Shah Rukh Khan', 'Saif Ali Khan', 'Jaya Bachchan']","https://m.media-amazon.com/images/M/MV5BYmVjNDIxODAtNWZiZi00ZDBlLWJmOTUtNDNjMGExNTViMzE1XkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_UX140_CR0,0,140,209_AL_.jpg"
Oye Lucky! Lucky Oye!,(2008),"Comedy, Crime, Drama",7.7,Dibakar Banerjee,"['Abhay Deol', 'Paresh Rawal', 'Nitu Chandra', 'Archana Puran Singh']","https://m.media-amazon.com/images/M/MV5BNjA1MjM2NTM3MV5BMl5BanBnXkFtZTcwODIyMjk5MQ@@._V1_UY209_CR3,0,140,209_AL_.jpg"
Sarfarosh,(1999),"Action, Crime, Drama",8.1,John Mathew Matthan,"['Aamir Khan', 'Naseeruddin Shah', 'Sonali Bendre', 'Mukesh Rishi']","https://m.media-amazon.com/images/M/MV5BNDQwMWE0ZDItOTBjOC00MzJhLWIwNWYtYzU4ODJkMjA3MTI2XkEyXkFqcGdeQXVyMTcyNDY1NDgw._V1_UY209_CR3,0,140,209_AL_.jpg"
